original effect, new effect, mixer
explosive, euphoric, addy
foggy, energizing, addy
glowing, refreshing, addy
long faced, electrifying, addy
sedating, gingeritis, addy
calming, sneaky, banana
calming, sneaky, banana
cyclopean, thought provoking, banana
disorienting, focused, banana
energizing, thought provoking, banana
focused, seizure inducing, banana
long faced, refreshing, banana
paranoia, jennerising, banana
smelly, anti gravity, banana
toxic, smelly, banana
cyclopean, glowing, battery
electrifying, euphoric, battery
electrifying, euphoric, battery
electrifying, euphoric, battery
euphoric, zombifying, battery
laxative, calorie dense, battery
munchies, tropic thunder, battery
shrinking, munchies, battery
anti gravity, tropic thunder, chili
athletic, euphoric, chili
laxative, long faced, chili
munchies, toxic, chili
shrinking, refreshing, chili
sneaky, bright eyed, chili
euphoric, laxative, cuke
foggy, cyclopean, cuke
gingeritis, thought provoking, cuke
munchies, athletic, cuke
slippery, munchies, cuke
sneaky, paranoia, cuke
toxic, euphoric, cuke
anti gravity, slippery, donut
balding, sneaky, donut
calorie dense, explosive, donut
focused, euphoric, donut
jennerising, gingeritis, donut
munchies, calming, donut
shrinking, energizing, donut
disorienting, electrifying, energy drink
euphoric, energizing, energy drink
focused, shrinking, energy drink
foggy, laxative, energy drink
glowing, disorienting, energy drink
glowing, disorienting, energy drink
schizophrenia, balding, energy drink
sedating, munchies, energy drink
spicy, euphoric, energy drink
tropic thunder, sneaky, energy drink
athletic, munchies, flu medicine
calming, bright eyed, flu medicine
cyclopean, foggy, flu medicine
electrifying, refreshing, flu medicine
euphoric, toxic, flu medicine
focused, calming, flu medicine
laxative, euphoric, flu medicine
munchies, slippery, flu medicine
shrinking, paranoia, flu medicine
thought provoking, gingeritis, flu medicine
disorienting, glowing, gasoline
electrifying, disorienting, gasoline
energizing, spicy, gasoline
euphoric, energizing, gasoline
gingeritis, smelly, gasoline
jennerising, sneaky, gasoline
laxative, foggy, gasoline
munchies, sedating, gasoline
paranoia, calming, gasoline
shrinking, focused, gasoline
sneaky, tropic thunder, gasoline
anti gravity, calming, horse semen
gingeritis, refreshing, horse semen
thought provoking, electrifying, horse semen
calming, balding, iodine
calorie dense, gingeritis, iodine
euphoric, seizure inducing, iodine
foggy, paranoia, iodine
refreshing, thought provoking, iodine
toxic, sneaky, iodine
athletic, laxative, mega bean
calming, glowing, mega bean
energizing, cyclopean, mega bean
focused, disorienting, mega bean
jennerising, paranoia, mega bean
seizure inducing, focused, mega bean
shrinking, electrifying, mega bean
slippery, toxic, mega bean
sneaky, calming, mega bean
thought provoking, energizing, mega bean
thought provoking, cyclopean, mega bean
energizing, munchies, motor oil
euphoric, sedating, motor oil
foggy, toxic, motor oil
munchies, schizophrenia, motor oil
paranoia, anti gravity, motor oil
calming, anti gravity, mouthwash
calorie dense, sneaky, mouthwash
explosive, sedating, mouthwash
focused, jennerising, mouthwash
calming, slippery, paracetamol
electrifying, athletic, paracetamol
energizing, paranoia, paracetamol
focused, gingeritis, paracetamol
foggy, calming, paracetamol
glowing, toxic, paracetamol
munchies, anti gravity, paracetamol
paranoia, balding, paracetamol
paranoia, balding, paracetamol
spicy, bright eyed, paracetamol
toxic, tropic thunder, paracetamol
athletic, sneaky, viagra
disorienting, toxic, viagra
euphoric, bright eyed, viagra
laxative, calming, viagra
